2026-08-25T06:14:58.166657467 INFO main Main:105 Starting PCGen v6.09.08.RC1
2026-08-25T06:15:01.572592652 INFO main LanguageBundle:134 Initialising language bundle with locale en.
2026-08-25T06:16:09.431247403 LSTERROR main LstUtils:145 Illegal Token 'FACT' 'IsOrc|True' for pcgen.core.PCTemplate IsOrc in file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/core_essentials/races/orc/orc_templates.lst
2026-08-25T06:16:11.279160964 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (142): PObject Special Ability ~ Champion ~ Armor not found; .MOD skipped.
2026-08-25T06:16:11.292441485 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (143): PObject Special Ability ~ Dastard ~ Armor not found; .MOD skipped.
2026-08-25T06:16:11.293530821 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (144): PObject Special Ability ~ Determination ~ Armor not found; .MOD skipped.
2026-08-25T06:16:11.294809925 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (152): PObject Special Ability ~ Jousting ~ Armor not found; .MOD skipped.
2026-08-25T06:16:11.305003558 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (154): PObject Special Ability ~ Righteous ~ Armor not found; .MOD skipped.
2026-08-25T06:16:11.305898148 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (166): PObject Special Ability ~ Unrighteous ~ Armor not found; .MOD skipped.
2026-08-25T06:16:11.311655945 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (227): PObject Special Ability ~ Allying ~ Weapon not found; .MOD skipped.
2026-08-25T06:16:11.319464974 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (233): PObject Special Ability ~ Cunning ~ Weapon not found; .MOD skipped.
2026-08-25T06:16:11.320193541 LSTERROR main LstObjectFileLoader:546 file:/home/ubuntu/workspace/repos/pcgen/data/pathfinder/paizo/roleplaying_game/ultimate_equipment/ue_equipmods.lst (234): PObject Special Ability ~ Conductive ~ Weapon not found; .MOD skipped.
